City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Sabha,LY,2021-03-23 23:18:18,27.0377,14.4283,55.58,24,0,8.25
142,Doka,SD,2021-03-23 23:17:08,13.5167,35.7667,89.06,14,9,7.94
143,Tiznit,MA,2021-03-23 23:18:06,29.5833,-9.5,63.45,29,0,3.31
144,Greenland,US,2021-03-23 23:19:06,43.0362,-70.8328,51.01,81,75,10.36
145,Bayir,TR,2021-03-23 23:19:06,37.2687,28.2167,48.2,66,40,3.44
146,Snasa,NO,2021-03-23 23:19:06,64.2457,12.3778,36.75,93,100,4.38
147,Pangnirtung,CA,2021-03-23 23:19:06,66.1451,-65.7125,-23.8,62,20,3.44
148,Mitsamiouli,KM,2021-03-23 23:19:07,-11.3847,43.2844,81.84,74,97,3.91
149,Karpogory,RU,2021-03-23 23:19:07,64.0019,44.4451,28.53,90,100,14.9
150,Namibe,AO,2021-03-23 23:19:07,-15.1961,12.1522,74.41,78,100,8.32
151,Braganca,BR,2021-03-23 23:19:07,-1.0536,-46.7656,73.51,98,96,1.99
152,Itarema,BR,2021-03-23 23:19:07,-2.9248,-39.9167,77.94,81,25,8.7
153,Nurota,UZ,2021-03-23 23:19:08,40.5614,65.6886,48.2,76,75,16.11
154,Mecca,SA,2021-03-23 23:16:25,21.4267,39.8261,78.75,24,1,2.66
155,Tim,RU,2021-03-23 23:19:08,51.6222,37.1244,30.99,78,99,8.99
156,La Asuncion,VE,2021-03-23 23:19:08,11.0333,-63.8628,76.6,80,69,17.02
157,Naliya,IN,2021-03-23 23:19:09,23.2667,68.8333,72.93,65,0,7.09
158,Port-Gentil,GA,2021-03-23 23:19:09,-0.7193,8.7815,82.4,78,20,10.36
159,Hofn,IS,2021-03-23 23:19:09,64.2539,-15.2082,34.65,45,51,8.37
160,Mahebourg,MU,2021-03-23 23:19:09,-20.4081,57.7,78.8,89,40,7.14
161,Severnyy,RU,2021-03-23 23:19:09,50.677,36.5532,32.0,93,90,13.42
162,Bathsheba,BB,2021-03-23 23:19:10,13.2167,-59.5167,78.8,57,20,16.11
163,Kiruna,SE,2021-03-23 23:19:10,67.8557,20.2251,30.2,80,59,17.27
164,Ponta Delgada,PT,2021-03-23 23:19:10,37.7333,-25.6667,55.4,76,20,20.71
165,Ajdabiya,LY,2021-03-23 23:19:10,30.7554,20.2263,56.55,62,7,27.92
166,Laguna De Perlas,NI,2021-03-23 23:19:11,12.3429,-83.6712,80.6,78,20,4.61
167,Tornio,FI,2021-03-23 23:19:11,65.8481,24.1466,35.6,87,0,9.22
168,Salalah,OM,2021-03-23 23:19:11,17.0151,54.0924,75.2,50,0,4.61
169,San Alberto,CO,2021-03-23 23:19:11,7.7611,-73.3922,82.63,71,92,2.39
170,Wilmington,US,2021-03-23 23:15:24,34.2257,-77.9447,68.0,73,75,9.22
