City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Tasiilaq,GL,65.6145,-37.6368,6.8,56,20,8.05,few clouds
152,Calarasi,MD,47.2544,28.3081,42.8,61,0,10.36,clear sky
153,Qaanaaq,GL,77.484,-69.3632,-7.85,61,100,6.89,overcast clouds
154,Bartica,GY,6.4,-58.6167,78.8,83,75,9.22,moderate rain
155,Rio Grande,BR,-32.035,-52.0986,77.0,88,75,4.61,broken clouds
156,Storforshei,NO,66.4043,14.5233,44.6,53,75,12.66,broken clouds
157,Namwala,ZM,-15.7504,26.4384,72.18,72,99,0.94,overcast clouds
158,Markivka,UA,49.5229,39.5705,38.89,82,100,5.91,overcast clouds
159,Yangambi,CD,0.8102,24.4336,66.92,99,99,2.06,overcast clouds
160,Sorokino,RU,53.75,84.9167,15.58,95,68,5.3,broken clouds
161,Georgetown,MY,5.4112,100.3354,79.0,94,40,1.01,scattered clouds
162,Oistins,BB,13.0667,-59.5333,82.4,54,40,23.02,scattered clouds
163,Pyshchug,RU,58.8873,45.7134,21.69,98,91,3.49,overcast clouds
164,Brae,GB,60.3964,-1.353,42.8,65,20,20.71,few clouds
165,East London,ZA,-33.0153,27.9116,69.8,88,0,9.22,clear sky
166,Cotonou,BJ,6.3654,2.4183,86.0,74,20,12.66,few clouds
167,Dogondoutchi,NE,13.6393,4.0287,87.78,13,30,11.74,scattered clouds
168,Mizdah,LY,31.4451,12.9801,56.44,36,0,8.95,clear sky
169,Tucuman,AR,-26.8241,-65.2226,66.2,94,90,9.22,light intensity drizzle
170,Monchegorsk,RU,67.9397,32.8739,18.41,95,25,7.05,scattered clouds
171,Sur,OM,22.5667,59.5289,79.43,54,100,7.49,overcast clouds
172,Methoni,GR,36.8197,21.7049,48.2,61,6,3.44,clear sky
173,Tsiroanomandidy,MG,-18.7667,46.0333,69.39,90,91,2.06,overcast clouds
174,Presidente Medici,BR,-11.1753,-61.9014,84.4,67,45,2.71,scattered clouds
175,Dalbandin,PK,28.8947,64.4101,78.57,10,0,3.8,clear sky
176,Souillac,MU,-20.5167,57.5167,77.0,94,75,3.44,broken clouds
177,Bethanien,NA,-26.502,17.1583,71.35,34,0,13.38,clear sky
178,Nouadhibou,MR,20.931,-17.0347,68.0,73,20,18.41,few clouds
179,Verkhoturye,RU,58.8627,60.8054,29.55,95,100,3.4,overcast clouds
180,Camacha,PT,33.0833,-16.3333,66.2,88,40,13.8,scattered clouds
181,Carbondale,US,37.7273,-89.2168,59.0,67,20,4.61,few clouds
182,Chapais,CA,49.7834,-74.8492,33.8,55,1,12.66,clear sky
183,Acarau,BR,-2.8856,-40.12,77.77,84,98,9.84,overcast clouds
184,Sao Filipe,CV,14.8961,-24.4956,71.74,73,13,18.77,few clouds
185,Mechelen,BE,51.0276,4.4807,55.0,58,0,11.5,clear sky
186,Gravdal,NO,68.1214,13.5031,46.4,46,0,14.97,clear sky
187,Melipilla,CL,-33.7,-71.2167,79.0,59,0,17.27,clear sky
188,Tocopilla,CL,-22.092,-70.1979,72.37,68,8,8.9,clear sky
189,Luderitz,NA,-26.6481,15.1594,63.84,80,0,9.33,clear sky
190,Mahebourg,MU,-20.4081,57.7,78.8,89,75,2.3,light rain
191,Pemba,MZ,-12.974,40.5178,82.4,78,20,6.91,few clouds
192,Ilhabela,BR,-23.7781,-45.3581,81.55,76,21,3.96,few clouds
193,Atlantic City,US,39.3643,-74.4229,82.4,34,1,19.57,clear sky
194,Altamira,BR,-3.2033,-52.2064,82.2,81,63,2.46,broken clouds
195,Cabedelo,BR,-6.9811,-34.8339,84.2,70,75,14.97,broken clouds
196,Altinopolis,BR,-21.0256,-47.3739,93.2,33,20,11.5,few clouds
197,Itaituba,BR,-4.2761,-55.9836,87.8,62,20,9.22,few clouds
198,Sochi,RU,43.6,39.7303,37.4,93,8,4.47,clear sky
199,Aberfeldy,GB,56.62,-3.8645,37.99,87,11,5.99,few clouds
200,Mehran,IR,33.1222,46.1646,48.2,43,0,2.3,clear sky
201,Orlovka,RU,44.6914,44.1744,39.92,78,98,11.52,overcast clouds
202,Karamursel,TR,40.6914,29.6157,44.6,65,75,5.75,broken clouds
203,Saint Anthony,US,45.0205,-93.218,43.0,60,1,3.44,clear sky
204,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,48,0,13.8,clear sky
205,Santa Fe,AR,-31.6333,-60.7,70.93,82,99,13.89,light rain
206,Harper,LR,4.375,-7.7169,79.56,84,0,6.96,clear sky
207,Asosa,ET,10.0667,34.5333,77.95,28,87,1.05,overcast clouds
208,Surt,LY,31.2089,16.5887,58.98,57,0,7.65,clear sky
209,Karaton,ID,-6.3424,106.1045,82.99,78,40,4.61,haze
210,Taltal,CL,-25.4,-70.4833,68.61,70,23,6.69,few clouds
211,Bilma,NE,18.6853,12.9164,71.44,13,0,10.31,clear sky
212,Harnosand,SE,62.6323,17.9379,39.0,87,100,5.75,overcast clouds
213,Carnarvon,AU,-24.8667,113.6333,75.2,73,100,13.8,overcast clouds
214,Saint-Augustin,CA,51.226,-58.6502,30.51,80,100,18.9,overcast clouds
215,Gabu,GW,12.2833,-14.2167,97.25,15,6,5.01,clear sky
216,Olinda,BR,-8.0089,-34.8553,80.6,65,40,13.8,scattered clouds
217,Riyadh,SA,24.6877,46.7219,87.8,11,0,10.36,clear sky
218,Marrakesh,MA,31.6315,-8.0083,77.0,20,40,5.75,scattered clouds
219,Lagos,NG,6.5833,3.75,84.2,74,20,5.75,few clouds
220,Ilinskiy,RU,55.619,38.1182,39.2,75,40,4.47,scattered clouds
221,Lagoa,PT,39.05,-27.9833,57.11,57,11,4.88,few clouds
222,Zelenogorskiy,RU,55.0333,87.0,24.8,80,0,11.18,clear sky
223,Richards Bay,ZA,-28.783,32.0377,67.87,94,38,4.45,light rain
224,Kasane,BW,-17.8167,25.15,73.4,83,40,8.05,scattered clouds
225,Talara,PE,-4.5772,-81.2719,86.0,54,0,13.8,clear sky
226,Chandla,IN,25.0833,80.2,78.76,14,0,3.22,clear sky
227,Vila Do Maio,CV,15.1333,-23.2167,71.6,64,20,27.63,few clouds
228,Goya,AR,-29.14,-59.2626,69.58,98,100,2.53,overcast clouds
229,Sabha,LY,27.0377,14.4283,59.4,28,0,9.24,clear sky
230,Garowe,SO,8.4054,48.4845,74.61,57,8,16.37,clear sky
231,Lucea,JM,18.451,-78.1736,84.2,70,20,21.85,few clouds
232,Alibag,IN,18.6411,72.8792,87.8,35,0,3.44,smoke
233,Padilla,CO,3.2204,-76.3139,84.2,61,40,13.8,scattered clouds
234,Cap Malheureux,MU,-19.9842,57.6142,78.01,81,12,2.82,few clouds
235,Sindor,RU,62.8629,51.8905,23.11,94,22,4.29,few clouds
236,Zhezkazgan,KZ,47.8043,67.7144,35.19,99,100,9.42,overcast clouds
237,Mucurapo,TT,10.6667,-61.5333,82.0,78,75,14.97,broken clouds
238,Suruc,TR,36.9761,38.425,37.4,100,75,6.91,broken clouds
239,Nchelenge,ZM,-9.3451,28.734,69.17,85,100,2.55,overcast clouds
240,Tchaourou,BJ,8.8865,2.5975,86.41,44,92,7.83,light rain
241,Praia Da Vitoria,PT,38.7333,-27.0667,61.0,63,20,7.96,few clouds
242,Qorveh,IR,35.1664,47.8045,44.08,41,0,10.25,clear sky
243,Rocha,UY,-34.4833,-54.3333,74.3,79,100,5.14,overcast clouds
244,Mehamn,NO,71.0357,27.8492,30.2,69,0,23.02,clear sky
245,Brusque,BR,-27.0981,-48.9175,84.2,70,20,5.75,moderate rain
246,Nara,JP,34.6851,135.8049,46.99,64,57,2.93,broken clouds
247,Okakarara,NA,-20.5833,17.4333,69.55,69,49,5.12,scattered clouds
248,Grand Gaube,MU,-20.0064,57.6608,78.01,81,13,2.82,few clouds
249,Naryan-Mar,RU,67.6713,53.087,16.63,87,6,10.38,clear sky
250,Chingola,ZM,-12.529,27.8838,63.59,95,100,5.06,moderate rain
251,Carahue,CL,-38.7,-73.1667,71.6,53,0,8.05,clear sky
252,Santa Maria,BR,-29.6842,-53.8069,71.6,100,75,8.05,moderate rain
253,Iacu,BR,-12.7672,-40.2117,95.61,20,0,8.72,clear sky
254,Willowmore,ZA,-33.2926,23.4895,65.16,74,9,6.73,clear sky
255,San Cristobal,VE,7.7669,-72.225,73.4,100,75,8.05,fog
256,Wajir,KE,1.7471,40.0573,89.46,27,18,5.39,few clouds
257,Munchberg,DE,50.2,11.7833,48.0,76,0,1.14,clear sky
258,Bantry,IE,51.6833,-9.45,41.0,81,75,14.97,broken clouds
259,Mahibadhoo,MV,3.7833,72.9667,83.5,74,100,12.37,overcast clouds
260,Aden,YE,12.7794,45.0367,79.12,71,100,10.36,overcast clouds
261,Tricase,IT,39.9304,18.3553,53.6,62,0,6.91,clear sky
262,Mattawa,US,46.7379,-119.9028,57.2,28,1,5.75,clear sky
263,Longyearbyen,SJ,78.2186,15.6401,19.4,68,40,18.41,scattered clouds
264,Palma,ES,39.5694,2.6502,61.0,77,20,2.3,few clouds
265,Machilipatnam,IN,16.1667,81.1333,80.6,74,8,2.3,mist
266,Sokolka,PL,53.4072,23.5023,44.01,60,95,7.29,overcast clouds
267,Saint-Prosper,CA,46.2117,-70.4811,48.2,93,100,4.61,overcast clouds
268,Tobol,KZ,52.6844,62.5794,18.09,88,100,6.17,overcast clouds
269,Gusev,RU,54.5922,22.1997,47.71,74,73,1.95,broken clouds
270,Xapuri,BR,-10.6517,-68.5044,87.8,70,75,4.61,broken clouds
271,Valparaiso,CL,-33.0393,-71.6273,84.2,35,0,20.71,clear sky
272,Tabas,IR,33.5959,56.9244,77.72,25,29,4.12,scattered clouds
273,Tutoia,BR,-2.7619,-42.2744,78.8,94,75,3.44,heavy intensity rain
274,Saint-Ambroise,CA,48.5501,-71.3324,41.0,81,100,3.44,overcast clouds
275,Hit,IQ,33.6416,42.8251,67.01,32,57,9.95,broken clouds
276,Kidal,ML,18.4411,1.4078,80.56,8,0,12.59,clear sky
277,Cradock,ZA,-32.1642,25.6192,71.71,32,66,1.05,broken clouds
278,Mogadishu,SO,2.0371,45.3438,80.1,72,55,19.77,broken clouds
279,Ponta Do Sol,PT,32.6667,-17.1,66.2,88,40,10.36,scattered clouds
280,Batticaloa,LK,7.7102,81.6924,81.01,81,100,3.67,light rain
281,Tres Arroyos,AR,-38.3739,-60.2798,61.81,86,100,16.6,light rain
282,Ugoofaaru,MV,5.6667,73.0,84.52,72,100,11.14,overcast clouds
283,Hofn,IS,64.2539,-15.2082,23.0,80,75,29.93,snow
284,Ofaqim,IL,31.3141,34.6203,51.01,100,100,13.09,overcast clouds
285,Cacule,BR,-14.5033,-42.2222,92.64,14,10,7.45,clear sky
286,Moroni,KM,-11.7022,43.2551,81.14,77,11,3.38,few clouds
287,Synya,RU,65.3718,58.0387,18.09,95,100,6.26,overcast clouds
288,Takoradi,GH,4.8845,-1.7554,80.83,81,34,10.42,scattered clouds
289,Mandera,KE,3.9366,41.867,88.25,18,6,9.86,clear sky
290,Akdepe,TM,42.0551,59.3788,51.8,76,0,9.22,clear sky
291,Kalemie,CD,-5.9475,29.1947,69.01,91,100,7.16,light rain
292,Krasnoselkup,RU,65.7,82.4667,26.92,95,100,16.98,light snow
293,Arcos De La Frontera,ES,36.7508,-5.8106,64.4,63,0,6.91,clear sky
294,Emba,KZ,48.8264,58.1442,33.31,89,100,13.53,overcast clouds
295,Geraldton,AU,-28.7667,114.6,64.4,77,10,14.97,clear sky
296,La Palma,US,33.8464,-118.0467,66.0,42,20,6.91,few clouds
297,Vallenar,CL,-28.5708,-70.7581,84.04,24,0,10.49,clear sky
298,Nola,IT,40.922,14.5329,54.0,71,0,3.2,clear sky
299,Cayenne,GF,4.9333,-52.3333,86.0,66,75,14.97,broken clouds
300,Adrar,MR,20.5022,-10.0711,82.76,7,0,10.92,clear sky
301,Ponta Delgada,PT,37.7333,-25.6667,59.0,63,20,11.5,few clouds
302,Maceio,BR,-9.6658,-35.7353,78.8,89,75,5.75,broken clouds
303,Oriximina,BR,-1.7656,-55.8661,86.02,60,94,5.19,overcast clouds
304,Puerto Carreno,CO,6.189,-67.4859,90.82,45,100,1.7,overcast clouds
305,Sembe,CG,1.6481,14.5806,71.13,95,31,1.21,light rain
306,Dovolnoye,RU,54.4958,79.6671,19.26,94,86,8.7,overcast clouds
307,Nuuk,GL,64.1835,-51.7216,-0.4,50,40,19.57,snow
308,Bosaso,SO,11.2842,49.1816,78.08,77,100,2.24,overcast clouds
309,Oum Hadjer,TD,13.2954,19.6966,89.85,10,78,16.89,broken clouds
310,Moramanga,MG,-18.9333,48.2,66.33,98,100,1.23,light rain
311,Misratah,LY,32.3754,15.0925,58.69,59,0,7.23,clear sky
312,Caravelas,BR,-17.7125,-39.2481,82.87,57,0,8.46,clear sky
313,Veere,NL,51.5483,3.6667,53.6,62,100,25.32,light rain
314,Corrente,BR,-3.7367,-43.3394,79.16,89,99,1.34,heavy intensity rain
315,Capreol,CA,46.706,-80.9225,28.4,64,90,14.97,overcast clouds
316,Itarema,BR,-2.9248,-39.9167,77.45,84,96,10.56,overcast clouds
317,Tabuk,PH,17.4189,121.4443,70.86,91,14,3.89,few clouds
318,Marhaura,IN,25.9667,84.8667,73.4,33,0,3.44,haze
319,Sokolo,ML,14.7328,-6.1219,89.53,4,0,9.62,clear sky
320,Lesnoy,RU,57.6198,63.0784,33.69,97,100,5.39,overcast clouds
321,Hornepayne,CA,49.2138,-84.7705,25.36,73,70,8.79,broken clouds
322,Coihaique,CL,-45.5752,-72.0662,62.6,55,75,6.91,broken clouds
323,Caucaia,BR,-3.7361,-38.6531,80.6,74,75,4.61,moderate rain
324,Saint-Pierre,RE,-21.3393,55.4781,78.8,83,20,3.44,few clouds
325,Antofagasta,CL,-23.65,-70.4,73.99,72,20,18.41,few clouds
326,Kargasok,RU,59.0556,80.8572,32.31,92,99,12.3,overcast clouds
327,Rondonopolis,BR,-16.4708,-54.6356,92.07,31,44,8.66,scattered clouds
328,Saint George,US,37.1041,-113.5841,57.0,40,1,5.75,clear sky
329,Isiro,CD,2.7739,27.616,65.46,97,100,2.28,light rain
330,Kunnamangalam,IN,11.3046,75.8777,84.2,74,20,1.9,haze
